"id_libro","autore","titolo","pagine","descrizione","immagine"
1,Alessandro Manzoni,I Promessi Sposi,700,Un classico della letteratura italiana che narra le vicende di Renzo e Lucia.,promessi_sposi.jpg
2,George Orwell,"1984",328,Un romanzo distopico che descrive una società totalitaria.,"1984.jpg"
3,Jane Austen,Orgoglio e Pregiudizio,432,Una storia d'amore e costumi nella società inglese del XIX secolo.,orgoglio_pregiudizio.jpg
4,Antoine de Saint-Exupéry,Il Piccolo Principe,96,Un'opera poetica e filosofica che tocca temi universali.,piccolo_principe.jpg
5,Umberto Eco,Il Nome della Rosa,544,Un thriller storico-filosofico ambientato in un monastero medievale.,nome_della_rosa.jpg
6,J.K. Rowling,Harry Potter e la Pietra Filosofale,223,Il primo libro della celebre saga di Harry Potter.,harry_potter1.jpg
7,Stephen King,It,1138,Un romanzo horror che segue le vicende di un gruppo di amici contro una malvagia entità.,it.jpg
8,Gabriel Garcia Marquez,Cent'anni di Solitudine,448,Un capolavoro del realismo magico che narra la saga della famiglia Buendía.,cent_anni_solitudine.jpg
9,Dante Alighieri,Divina Commedia,500,"Un poema allegorico che descrive il viaggio di Dante attraverso Inferno, Purgatorio e Paradiso.",divina_commedia.jpg
10,Agatha Christie,Dieci Piccoli Indiani,256,Un celebre romanzo giallo con un mistero da risolvere su un'isola isolata.,dieci_piccoli_indiani.jpg
